dataset,configuration_id,base_configuration_id,feature_family,feature_capacity,feature_params,classifier,classifier_family,classifier_capacity,classifier_params,train_fraction,subset_seed,protocol_hash
UT_HAR,time_stats__logistic_regression__small__frac_0.20,time_stats__logistic_regression__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,small,"{""C"": 0.1, ""max_iter"": 2000}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__small__frac_0.40,time_stats__logistic_regression__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,small,"{""C"": 0.1, ""max_iter"": 2000}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__small__frac_0.60,time_stats__logistic_regression__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,small,"{""C"": 0.1, ""max_iter"": 2000}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__small__frac_0.80,time_stats__logistic_regression__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,small,"{""C"": 0.1, ""max_iter"": 2000}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__small__frac_1.00,time_stats__logistic_regression__small,time_stats,small,"{""segment_bins"": 1, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,small,"{""C"": 0.1, ""max_iter"": 2000}",1.0,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__medium__frac_0.20,time_stats__logistic_regression__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,medium,"{""C"": 1.0, ""max_iter"": 3000}",0.2,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__medium__frac_0.40,time_stats__logistic_regression__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,medium,"{""C"": 1.0, ""max_iter"": 3000}",0.4,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__medium__frac_0.60,time_stats__logistic_regression__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,medium,"{""C"": 1.0, ""max_iter"": 3000}",0.6,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__medium__frac_0.80,time_stats__logistic_regression__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,medium,"{""C"": 1.0, ""max_iter"": 3000}",0.8,3407,8a3568eb591e
UT_HAR,time_stats__logistic_regression__medium__frac_1.00,time_stats__logistic_regression__medium,time_stats,medium,"{""segment_bins"": 2, ""statistics"": [""mean"", ""std"", ""min"", ""max"", ""median"", ""iqr""]}",logistic_regression,linear,medium,"{""C"": 1.0, ""max_iter"": 3000}",1.0,3407,8a3568eb591e
